,School,Link,GameLogs,Pace,ELO
142,Lindenwood,https://www.sports-reference.com/cbb/schools/lindenwood/men/2026.html,https://www.sports-reference.com/cbb/schools/lindenwood/men/2026-gamelogs.html,73.8,1163.2
143,Lipscomb,https://www.sports-reference.com/cbb/schools/lipscomb/men/2026.html,https://www.sports-reference.com/cbb/schools/lipscomb/men/2026-gamelogs.html,71.2,1311.54
144,Little Rock,https://www.sports-reference.com/cbb/schools/arkansas-little-rock/men/2026.html,https://www.sports-reference.com/cbb/schools/arkansas-little-rock/men/2026-gamelogs.html,68.2,1128.16
145,Long Beach State,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026-gamelogs.html,71.2,1099.42
146,Long Island University,https://www.sports-reference.com/cbb/schools/long-island-university/men/2026.html,https://www.sports-reference.com/cbb/schools/long-island-university/men/2026-gamelogs.html,68.6,1303.47
147,Longwood,https://www.sports-reference.com/cbb/schools/longwood/men/2026.html,https://www.sports-reference.com/cbb/schools/longwood/men/2026-gamelogs.html,70.0,1213.58
148,Louisiana,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/men/2026.html,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/men/2026-gamelogs.html,63.7,1194.7
149,Louisiana State,https://www.sports-reference.com/cbb/schools/louisiana-state/men/2026.html,https://www.sports-reference.com/cbb/schools/louisiana-state/men/2026-gamelogs.html,68.7,1394.94
150,Louisiana Tech,https://www.sports-reference.com/cbb/schools/louisiana-tech/men/2026.html,https://www.sports-reference.com/cbb/schools/louisiana-tech/men/2026-gamelogs.html,65.7,1303.62
151,Louisiana-Monroe,https://www.sports-reference.com/cbb/schools/louisiana-monroe/men/2026.html,https://www.sports-reference.com/cbb/schools/louisiana-monroe/men/2026-gamelogs.html,71.1,926.73
152,Louisville,https://www.sports-reference.com/cbb/schools/louisville/men/2026.html,https://www.sports-reference.com/cbb/schools/louisville/men/2026-gamelogs.html,71.7,1604.35
153,Loyola (IL),https://www.sports-reference.com/cbb/schools/loyola-il/men/2026.html,https://www.sports-reference.com/cbb/schools/loyola-il/men/2026-gamelogs.html,66.5,1226.04
154,Loyola (MD),https://www.sports-reference.com/cbb/schools/loyola-md/men/2026.html,https://www.sports-reference.com/cbb/schools/loyola-md/men/2026-gamelogs.html,68.6,1117.45
155,Maine,https://www.sports-reference.com/cbb/schools/maine/men/2026.html,https://www.sports-reference.com/cbb/schools/maine/men/2026-gamelogs.html,65.4,1075.84
156,Manhattan,https://www.sports-reference.com/cbb/schools/manhattan/men/2026.html,https://www.sports-reference.com/cbb/schools/manhattan/men/2026-gamelogs.html,68.4,1133.17
157,Marist,https://www.sports-reference.com/cbb/schools/marist/men/2026.html,https://www.sports-reference.com/cbb/schools/marist/men/2026-gamelogs.html,66.4,1298.15
158,Marquette,https://www.sports-reference.com/cbb/schools/marquette/men/2026.html,https://www.sports-reference.com/cbb/schools/marquette/men/2026-gamelogs.html,69.9,1363.9
159,Marshall,https://www.sports-reference.com/cbb/schools/marshall/men/2026.html,https://www.sports-reference.com/cbb/schools/marshall/men/2026-gamelogs.html,70.7,1337.31
160,Maryland,https://www.sports-reference.com/cbb/schools/maryland/men/2026.html,https://www.sports-reference.com/cbb/schools/maryland/men/2026-gamelogs.html,67.4,1382.6
