,team_location,team_score,opponent_team_location,opponent_team_score,team_turnovers,blocks,steals,offensive_rebounds,defensive_rebounds,field_goals_attempted,three_point_field_goals_attempted,fouls,fast_break_points,free_throws_attempted,elo,opponent_elo,elo_delta,score_delta
6266,Bethune-Cookman,76,Ohio,73,1,2,4,5,27,57,15,23,11,14,1270.66,1292.46,-21.799999999999955,3
6268,Louisiana Tech,51,Indiana State,60,0,6,7,15,35,66,16,18,4,20,1355.08,1236.05,119.02999999999997,-9
6270,Hofstra,76,Temple,81,1,1,4,9,23,62,28,24,9,13,1280.5,1366.26,-85.75999999999999,-5
6272,Tennessee Tech,88,South Carolina Upstate,84,0,4,7,10,32,55,21,23,12,32,1029.28,1109.33,-80.04999999999995,4
6274,Howard,60,Stetson,64,4,1,12,14,26,64,23,21,11,16,1164.9,1131.14,33.75999999999999,-4
6276,North Florida,78,Wofford,86,0,1,8,4,23,63,33,16,6,8,1073.09,1401.04,-327.95000000000005,-8
6280,Florida Gulf Coast,77,Samford,62,1,8,7,14,32,59,16,18,5,15,1208.3,1252.0,-43.700000000000045,15
6282,Youngstown State,75,Toledo,92,1,3,6,10,18,57,29,23,14,12,1205.33,1325.26,-119.93000000000006,-17
6284,Valparaiso,90,Cleveland State,75,0,7,6,13,26,63,22,21,11,20,1331.49,1211.48,120.00999999999999,15
6286,Villanova,70,La Salle,55,1,2,6,13,20,54,25,13,8,10,1575.58,1244.31,331.27,15
6290,Bryant,61,Virginia Tech,78,0,4,3,4,20,52,27,20,2,16,1115.02,1535.9,-420.8800000000001,-17
6292,Bellarmine,79,Notre Dame,86,0,0,8,2,15,46,22,22,10,27,1115.89,1411.96,-296.06999999999994,-7
6294,VMI,54,Richmond,87,0,4,3,9,20,49,31,15,4,20,1007.63,1292.52,-284.89,-33
6300,Mount St. Mary's,90,Maryland,95,2,4,3,12,25,65,36,29,8,16,1260.19,1404.58,-144.38999999999987,-5
6304,Middle Tennessee,61,Michigan,86,1,4,6,13,27,69,37,24,0,12,1370.68,1808.16,-437.48,-25
6308,Harvard,80,Penn State,84,1,3,4,9,16,57,27,18,4,8,1309.1,1322.93,-13.830000000000155,-4
6312,Alabama State,64,Air Force,66,1,4,10,6,18,55,19,19,11,19,1131.53,1052.74,78.78999999999996,-2
6314,Sacramento State,48,UCLA,79,0,3,6,13,22,54,24,25,0,30,1093.27,1615.41,-522.1400000000001,-31
6316,Northwestern State,64,San Francisco,84,1,2,3,10,17,51,16,24,6,26,1146.1,1418.17,-272.07000000000016,-20
6318,UC Davis,75,Nevada,71,1,1,8,4,24,45,26,20,19,27,1297.03,1532.39,-235.36000000000013,4
6320,Troy,108,San Diego State,107,1,1,12,17,24,72,34,31,20,43,1456.41,1612.65,-156.24,1
6322,Idaho State,55,Santa Clara,64,1,5,5,7,25,46,24,13,8,18,1176.31,1575.11,-398.79999999999995,-9
6324,UC Riverside,57,California Baptist,80,0,6,8,12,26,61,21,16,0,13,1212.25,1424.46,-212.21000000000004,-23
6326,Louisiana,66,Stanford,93,0,0,3,6,21,55,9,29,7,17,1164.33,1515.59,-351.26,-27
6328,Presbyterian,57,California,67,1,4,4,16,18,56,20,15,6,12,1185.99,1485.28,-299.28999999999996,-10
6330,Southern,93,Washington,99,1,6,9,15,28,73,19,33,12,34,1161.11,1488.62,-327.51,-6
6332,Kansas,66,Duke,78,1,4,5,8,22,60,21,22,13,14,1674.85,1802.92,-128.07000000000016,-12
6334,Stephen F. Austin,78,Fresno State,80,0,4,8,19,19,73,29,16,7,6,1411.9,1261.6,150.30000000000018,-2
6336,Grambling,68,San Diego,78,0,3,9,16,23,60,13,23,30,31,1128.18,1220.63,-92.45000000000005,-10
6338,Wichita State,59,Boise State,62,0,1,3,12,26,56,15,21,6,19,1437.96,1504.17,-66.21000000000004,-3
6340,Purdue Fort Wayne,77,Utah,85,0,4,8,12,19,65,27,15,14,8,1360.86,1367.97,-7.110000000000127,-8
6342,Monmouth,73,Syracuse,78,1,5,8,10,25,57,24,27,9,25,1290.31,1404.49,-114.18000000000006,-5
6344,Rider,65,Texas,99,0,3,2,9,28,62,20,23,4,18,1046.52,1506.73,-460.21000000000004,-34
6346,New Orleans,79,Pepperdine,90,0,5,5,15,25,62,29,21,3,24,1191.05,1108.87,82.18000000000006,-11
6350,Army,73,Cornell,86,1,0,8,8,28,65,29,22,11,24,1129.72,1345.62,-215.89999999999986,-13
6352,Southeast Missouri State,70,Iowa,99,1,1,4,10,16,50,16,25,6,21,1274.69,1616.46,-341.77,-29
6354,Winthrop,83,Arkansas,84,0,2,3,8,22,67,32,20,9,6,1407.07,1664.33,-257.26,-1
6362,Montana,81,Texas A&M,86,2,2,4,3,24,52,31,20,9,13,1389.75,1624.51,-234.76,-5
6366,Gardner-Webb,62,DePaul,93,0,3,9,13,24,66,26,13,12,15,998.94,1410.84,-411.89999999999986,-31
6368,Little Rock,68,Murray State,89,1,3,5,16,19,61,6,19,7,16,1196.72,1444.73,-248.01,-21
6370,UT Arlington,84,Evansville,76,1,1,8,10,25,45,16,25,10,24,1369.43,1160.2,209.23000000000002,8
6372,Abilene Christian,49,Texas State,63,2,5,14,17,17,55,15,19,8,19,1232.99,1254.2,-21.210000000000036,-14
6374,Chicago State,54,Minnesota,66,1,0,7,8,21,55,14,21,7,10,918.67,1407.51,-488.84000000000003,-12
6376,Northern Illinois,57,Northern Iowa,70,2,2,5,8,18,47,20,23,8,16,1107.89,1356.14,-248.25,-13
6380,Rhode Island,86,Yale,77,0,2,10,12,18,59,24,21,25,20,1428.69,1524.75,-96.05999999999995,9
6384,Georgia Southern,66,Georgia Tech,68,0,3,13,15,22,67,37,23,4,15,1299.91,1381.48,-81.56999999999994,-2
6388,North Carolina A&T,79,Morgan State,73,0,2,2,8,32,50,19,14,11,27,1150.56,1120.63,29.929999999999836,6
6390,Navy,61,North Carolina,73,0,5,8,13,25,69,21,19,7,16,1344.01,1618.04,-274.03,-12
6398,Saint Peter's,70,Delaware,81,0,2,9,7,19,63,32,18,19,6,1323.38,1181.66,141.72000000000003,-11
6400,NJIT,43,Drexel,75,0,4,4,10,25,52,24,23,8,24,1160.31,1320.67,-160.36000000000013,-32
6402,Towson,75,James Madison,81,0,0,6,17,21,61,21,18,17,23,1355.75,1332.61,23.1400000000001,-6
6404,New Haven,45,Seton Hall,68,1,1,7,5,23,49,21,10,2,8,1066.2,1467.4,-401.20000000000005,-23
6406,New Hampshire,66,Providence,98,0,0,5,14,20,64,28,21,7,9,1149.4,1336.14,-186.74,-32
6410,Radford,58,South Carolina,87,1,0,5,10,16,55,24,17,20,25,1269.88,1393.94,-124.05999999999995,-29
6412,Princeton,69,Iona,89,1,3,7,13,24,67,24,17,10,23,1252.82,1354.38,-101.56000000000017,-20
6414,Old Dominion,69,Xavier,99,1,3,5,9,19,62,18,18,11,18,1213.91,1418.8,-204.88999999999987,-30
6416,Eastern Michigan,72,Detroit Mercy,62,0,1,4,10,30,53,19,18,13,25,1185.25,1151.58,33.67000000000007,10
6418,Jacksonville,57,George Mason,79,2,1,6,12,17,52,17,25,6,15,1202.42,1598.84,-396.41999999999985,-22
6422,Eastern Kentucky,78,Kent State,93,1,6,7,14,23,65,37,30,17,24,1137.52,1470.86,-333.3399999999999,-15
6426,East Carolina,60,UNC Wilmington,85,0,1,6,12,20,63,25,22,8,14,1202.22,1522.73,-320.51,-25
6428,Boston University,49,Columbia,54,0,3,6,11,24,58,18,12,6,16,1100.96,1277.53,-176.56999999999994,-5
6430,Hampton,52,Boston College,63,1,3,6,15,24,60,23,18,0,14,1233.71,1317.58,-83.86999999999989,-11
6432,Holy Cross,49,Brown,68,2,0,7,9,20,52,25,12,11,11,1086.35,1195.45,-109.10000000000014,-19
6438,Michigan State,83,Kentucky,66,1,4,5,10,32,64,22,17,8,10,1726.57,1630.94,95.62999999999988,17
6444,Vermont,90,Buffalo,94,0,3,6,5,25,55,25,26,14,22,1357.96,1276.94,81.01999999999998,-4
6454,Oregon State,75,Oregon,87,1,3,4,9,18,54,25,27,1,25,1332.8,1389.56,-56.75999999999999,-12
6456,Cal State Bakersfield,80,Portland State,93,0,5,11,10,17,55,17,22,11,29,1141.76,1341.13,-199.37000000000012,-13
6458,Southern Utah,50,Gonzaga,122,0,3,6,9,17,61,25,16,7,15,1124.6,1743.3,-618.7,-72
6462,Alabama State,66,Colorado,94,0,2,4,13,20,67,25,24,10,12,1131.53,1417.81,-286.28,-28
6464,Georgia State,62,Arizona State,75,4,1,6,9,25,55,25,18,5,16,1243.87,1433.83,-189.96000000000004,-13
6466,North Alabama,61,Clemson,81,1,4,10,13,16,60,28,14,4,15,1128.68,1634.32,-505.6399999999999,-20
6468,Rice,66,Tennessee,91,2,1,7,14,17,60,28,18,11,25,1220.67,1617.63,-396.96000000000004,-25
6472,Stonehill,57,Iowa State,96,1,0,2,6,21,55,27,18,2,2,1104.8,1713.44,-608.6400000000001,-39
6474,SIU Edwardsville,69,Wisconsin,94,1,5,4,8,23,58,18,18,8,11,1253.21,1610.82,-357.6099999999999,-25
6478,Southern Illinois,85,North Dakota State,92,0,3,10,11,26,66,14,17,9,13,1293.51,1454.82,-161.30999999999995,-7
6484,Tulsa,83,Kansas State,84,1,1,7,14,24,66,30,16,10,29,1498.8,1406.21,92.58999999999992,-1
6500,West Georgia,61,Tennessee Tech,59,2,4,4,14,24,61,15,15,5,16,1117.36,1029.28,88.07999999999993,2
6502,Oakland,83,UCF,87,2,3,3,10,22,61,23,18,17,26,1405.88,1610.01,-204.12999999999988,-4
6504,Colgate,72,Siena,69,0,7,7,6,21,52,11,17,6,17,1291.69,1329.38,-37.690000000000055,3
6506,Lafayette,59,West Virginia,81,1,2,6,6,19,49,22,17,7,12,1057.31,1541.0,-483.69000000000005,-22
6508,Niagara,68,Le Moyne,74,3,1,9,6,23,55,28,17,12,14,1023.36,1182.05,-158.68999999999994,-6
6510,Canisius,50,High Point,93,2,2,4,15,20,49,17,14,7,25,1090.17,1484.49,-394.31999999999994,-43
6512,Saint Joseph's,74,Pennsylvania,83,2,5,6,16,24,71,35,19,12,15,1437.14,1249.03,188.11000000000013,-9
6514,Bucknell,50,Pittsburgh,84,1,3,6,10,19,47,21,14,4,23,1078.13,1355.73,-277.5999999999999,-34
6516,Florida A&M,57,Georgia,87,3,2,8,16,18,62,21,23,6,14,1175.67,1551.42,-375.75,-30
6520,Troy,85,Cal State Northridge,94,0,3,9,7,18,61,31,17,11,22,1456.41,1325.03,131.3800000000001,-9
6522,Akron,79,Purdue,97,0,1,9,12,14,67,33,19,7,17,1570.49,1701.37,-130.87999999999988,-18
6524,Illinois State,82,Long Beach State,80,0,0,3,5,26,49,16,19,13,39,1449.27,1146.92,302.3499999999999,2
6526,Mount St. Mary's,55,Cincinnati,72,0,1,1,7,29,56,27,23,0,10,1260.19,1467.68,-207.49,-17
6528,Incarnate Word,61,Indiana,69,2,2,4,8,21,60,21,21,2,9,1128.85,1568.65,-439.8000000000002,-8
6534,Harvard,56,Marist,54,1,2,7,8,26,45,16,13,0,23,1309.1,1341.33,-32.23000000000002,2
6538,Presbyterian,62,Sacramento State,64,0,1,11,14,20,59,21,18,8,21,1185.99,1093.27,92.72000000000003,-2
6540,Lindenwood,65,Alabama A&M,74,1,1,7,10,21,54,22,18,20,21,1208.69,1159.36,49.330000000000155,-9
6544,Houston,73,Auburn,72,1,6,7,14,26,65,24,23,12,12,1772.45,1640.92,131.52999999999997,1
6546,Tennessee State,82,Western Kentucky,95,0,4,5,11,24,58,24,21,14,34,1313.36,1277.0,36.3599999999999,-13
6548,Radford,82,Cleveland State,87,0,2,7,21,25,74,30,32,6,30,1269.88,1211.48,58.40000000000009,-5
6550,South Florida,108,Kennesaw State,89,0,6,8,14,27,62,20,25,18,46,1472.42,1353.78,118.6400000000001,19
6552,Samford,84,Central Arkansas,77,0,5,8,9,30,68,44,16,6,18,1252.0,1233.52,18.480000000000018,7
6554,Quinnipiac,70,Maine,64,1,6,7,18,29,63,18,19,19,31,1351.39,1096.06,255.33000000000015,6
6560,Charlotte,76,Virginia Tech,84,0,5,1,17,25,63,23,25,3,24,1357.23,1535.9,-178.67000000000007,-8
6562,Texas A&M-Corpus Christi,69,Oklahoma State,85,0,1,12,9,21,61,19,23,11,26,1231.8,1497.55,-265.75,-16
6566,Western Michigan,78,South Dakota,83,2,4,0,11,30,60,16,19,12,11,1177.22,1237.53,-60.309999999999945,-5
6568,Stetson,65,Western Carolina,76,0,1,10,11,24,65,25,12,5,19,1131.14,1182.65,-51.50999999999999,-11
6572,Bryant,50,Valparaiso,68,0,2,7,19,27,65,29,21,7,9,1115.02,1331.49,-216.47000000000003,-18
6574,Holy Cross,67,Hampton,61,1,0,10,4,20,45,17,13,4,15,1086.35,1233.71,-147.36000000000013,6
6578,Notre Dame,63,Ohio State,64,0,1,6,7,29,51,10,21,3,20,1411.96,1569.78,-157.81999999999994,-1
6584,Wright State,72,Kent State,76,1,5,12,9,23,61,24,21,11,19,1357.04,1470.86,-113.81999999999994,-4
6588,Utah Valley,74,Fresno State,75,0,2,12,7,22,50,18,18,11,28,1443.96,1261.6,182.36000000000013,-1
6590,Weber State,70,UC Irvine,79,0,0,10,16,25,71,17,24,20,24,1173.37,1480.4,-307.0300000000002,-9
6592,Bradley,64,San Francisco,75,1,3,7,9,16,60,34,19,7,21,1448.33,1418.17,30.159999999999854,-11
6596,Mississippi Valley State,73,Manhattan,80,0,2,8,8,14,55,16,23,7,11,880.93,1137.32,-256.39,-7
6598,Green Bay,65,Minnesota,72,1,3,3,7,30,54,22,25,8,24,1278.0,1407.51,-129.51,-7
6600,Northern Colorado,88,Pepperdine,81,0,6,4,12,35,62,26,23,4,25,1233.27,1108.87,124.40000000000009,7
6602,Portland,56,Wyoming,93,0,4,6,8,23,48,12,18,5,33,1233.42,1306.98,-73.55999999999995,-37
6604,New Mexico,68,New Mexico State,76,2,1,4,9,27,55,28,19,10,17,1614.09,1228.12,385.97,-8
6606,Sam Houston,79,Utah,85,0,8,9,12,21,70,23,20,23,13,1415.44,1367.97,47.47000000000003,-6
6610,Gardner-Webb,84,Elon,95,1,2,10,17,20,73,27,17,17,15,998.94,1320.85,-321.90999999999985,-11
6612,Southern Utah,85,Omaha,90,0,3,9,11,24,68,28,18,6,17,1124.6,1249.39,-124.79000000000019,-5
6614,Grand Canyon,64,Saint Louis,78,0,7,8,15,24,67,28,15,13,22,1516.78,1636.71,-119.93000000000006,-14
6616,Duquesne,77,Villanova,87,1,1,5,12,17,55,23,25,20,20,1313.12,1575.58,-262.46000000000004,-10
6618,Belmont,83,Oral Roberts,60,0,2,6,11,34,60,21,22,0,17,1576.64,977.9,598.7400000000001,23
6622,Bethune-Cookman,82,Dayton,91,0,2,7,15,17,68,20,24,13,15,1270.66,1445.16,-174.5,-9
6626,Jackson State,51,Louisiana Tech,68,2,3,10,10,27,56,33,21,10,17,1210.76,1355.08,-144.31999999999994,-17
6628,Oklahoma,99,Nebraska,105,1,2,3,9,21,63,37,23,13,21,1411.1,1720.83,-309.73,-6
6630,Nevada,83,Santa Clara,98,0,2,7,12,17,58,14,16,10,28,1532.39,1575.11,-42.7199999999998,-15
6632,South Carolina Upstate,60,UNC Wilmington,73,0,7,6,13,18,55,19,21,9,18,1109.33,1522.73,-413.4000000000001,-13
6634,Little Rock,68,Ball State,62,1,4,8,12,24,51,12,17,11,11,1196.72,1141.5,55.22000000000003,6
6638,James Madison,79,Long Island University,88,1,3,4,12,23,66,16,16,10,14,1332.61,1301.89,30.7199999999998,-9
6644,Missouri State,49,UT Arlington,67,1,8,12,11,24,50,14,18,12,24,1273.11,1369.43,-96.32000000000016,-18
6646,Old Dominion,73,George Washington,96,1,4,4,16,25,62,24,26,8,22,1213.91,1401.48,-187.56999999999994,-23
6650,Texas Southern,67,Texas State,77,0,3,11,11,17,54,12,20,13,29,1131.23,1254.2,-122.97000000000003,-10
6652,North Dakota,76,UC Riverside,74,0,1,13,10,22,65,24,20,12,14,1268.34,1212.25,56.08999999999992,2
6656,Pacific,85,Cal State Fullerton,73,1,2,4,7,40,57,15,21,2,17,1339.2,1233.69,105.50999999999999,12
6660,UTEP,51,Utah State,75,1,3,7,8,16,51,16,27,9,19,1188.32,1580.6,-392.28,-24
6662,Montana State,58,Boise State,62,2,2,4,9,27,59,26,19,3,11,1303.86,1504.17,-200.31000000000017,-4
6664,Idaho,67,UC San Diego,75,0,1,5,11,27,60,32,21,5,20,1227.0,1394.03,-167.02999999999997,-8
6666,Youngstown State,80,St. Bonaventure,84,0,2,9,10,16,59,28,18,12,18,1205.33,1375.68,-170.35000000000014,-4
6668,Morgan State,72,Mercyhurst,86,1,2,4,18,19,51,9,25,14,38,1120.63,1196.36,-75.72999999999979,-14
6672,Wright State,92,Radford,59,0,2,8,11,31,59,20,20,12,27,1357.04,1269.88,87.15999999999985,33
6674,Drexel,50,Syracuse,80,2,2,3,18,21,59,23,13,3,10,1320.67,1404.49,-83.81999999999994,-30
6678,Arkansas-Pine Bluff,75,Vanderbilt,104,0,2,3,8,20,57,24,23,10,26,1111.27,1663.42,-552.1500000000001,-29
6682,East Tennessee State,78,North Alabama,74,0,4,12,8,22,63,28,16,16,14,1350.19,1128.68,221.51,4
6686,Binghamton,82,Longwood,90,0,1,4,15,24,58,24,23,10,23,958.72,1188.89,-230.17000000000007,-8
6690,Princeton,57,Kansas,76,0,0,8,8,23,58,35,19,0,16,1252.82,1674.85,-422.03,-19
6692,Austin Peay,69,UNC Greensboro,63,1,1,8,11,32,65,25,22,9,16,1337.08,1202.61,134.47000000000003,6
6694,UTSA,84,Denver,79,0,2,2,11,26,56,23,16,6,20,1082.68,1133.67,-50.99000000000001,5
6696,New Hampshire,44,George Mason,61,1,3,8,6,24,51,18,20,2,9,1149.4,1598.84,-449.4399999999998,-17
6698,Mercer,69,Winthrop,105,0,2,5,7,25,56,24,27,14,26,1319.74,1407.07,-87.32999999999993,-36
6704,Wofford,94,Bellarmine,86,1,6,4,6,23,51,28,18,9,29,1401.04,1115.89,285.14999999999986,8
6706,Maryland,89,Marquette,82,0,3,6,4,31,55,22,19,12,27,1404.58,1388.57,16.00999999999999,7
6710,Miami (OH),76,Air Force,61,0,4,5,11,30,64,31,18,11,5,1598.26,1052.74,545.52,15
6716,Boston College,76,Temple,71,0,13,4,13,30,66,27,20,10,16,1317.58,1366.26,-48.680000000000064,5
6718,Harvard,75,Army,52,2,3,12,7,23,48,18,13,9,22,1309.1,1129.72,179.37999999999988,23
6720,Kansas City,55,Texas,71,1,1,1,10,25,65,14,21,2,8,969.67,1506.73,-537.0600000000001,-16
6722,Delaware State,52,New Haven,65,1,0,10,6,20,57,19,18,14,10,998.73,1066.2,-67.47000000000003,-13
6724,Vermont,85,Northeastern,74,0,2,4,6,23,56,23,20,6,12,1357.96,1168.08,189.8800000000001,11
6726,Merrimack,91,Boston University,79,1,2,7,9,24,54,30,16,7,16,1391.05,1100.96,290.0899999999999,12
6728,Detroit Mercy,83,Toledo,90,0,2,6,15,22,71,25,24,14,17,1151.58,1325.26,-173.68000000000006,-7
6730,Jacksonville,69,VMI,67,0,2,8,12,21,55,25,14,10,10,1202.42,1007.63,194.79000000000008,2
6732,Chattanooga,73,Florida Gulf Coast,91,2,2,3,7,20,53,27,13,6,30,1248.25,1208.3,39.950000000000045,-18
6734,Kent State,102,Cleveland State,95,0,2,7,14,17,59,23,22,6,46,1470.86,1211.48,259.3799999999999,7
6736,Penn State,83,La Salle,69,0,1,5,6,19,57,20,16,14,11,1322.93,1244.31,78.62000000000012,14
6738,Stony Brook,79,Yale,86,3,3,2,6,15,50,27,24,8,17,1298.45,1524.75,-226.29999999999995,-7
6740,Ohio,81,Louisville,106,2,3,9,12,22,59,26,20,2,26,1292.46,1614.63,-322.1700000000001,-25
6742,Marshall,78,Virginia,104,0,3,6,11,24,60,24,28,17,24,1324.68,1664.19,-339.51,-26
6744,Clemson,74,Georgetown,79,0,3,4,11,25,61,29,22,13,20,1634.32,1395.12,239.20000000000005,-5
6748,South Alabama,72,Coppin State,62,0,3,8,14,26,63,27,14,8,15,1408.04,958.17,449.87,10
6752,Gonzaga,77,Arizona State,65,0,5,2,11,34,51,21,22,12,35,1743.3,1433.83,309.47,12
6754,Washington,81,Washington State,69,0,5,3,11,25,56,26,14,10,23,1488.62,1334.53,154.08999999999992,12
6756,Western Illinois,59,California Baptist,69,0,0,4,4,25,50,10,18,11,21,937.58,1424.46,-486.88,-10
6758,Arizona,69,UCLA,65,0,3,7,11,24,55,19,11,10,15,1826.82,1615.41,211.40999999999985,4
6764,Utah Tech,81,Mississippi Valley State,75,1,3,6,14,28,63,33,11,9,28,1246.11,880.93,365.17999999999995,6
6766,Michigan,67,TCU,63,1,7,5,15,29,53,16,16,15,20,1808.16,1510.74,297.4200000000001,4
6768,Colgate,65,Illinois,84,0,1,4,6,23,62,19,18,2,9,1291.69,1737.36,-445.66999999999985,-19
6770,North Carolina Central,53,North Carolina,97,0,2,6,14,16,66,26,21,0,20,1100.06,1618.04,-517.98,-44
6772,Cal Poly,82,Montana,90,0,2,6,12,31,69,20,25,3,21,1200.65,1389.75,-189.0999999999999,-8
6774,Georgia Tech,87,Georgia,92,1,8,7,18,25,73,22,28,6,28,1381.48,1551.42,-169.94000000000005,-5
6776,Sacramento State,73,UC Davis,77,0,1,8,11,26,59,13,20,22,21,1093.27,1297.03,-203.76,-4
6778,Abilene Christian,66,Stephen F. Austin,76,1,5,4,10,29,57,10,21,9,19,1232.99,1411.9,-178.91000000000008,-10
6780,Providence,88,Colorado,97,0,10,4,9,23,65,25,25,25,31,1336.14,1417.81,-81.66999999999985,-9
6782,Tarleton State,81,Baylor,94,1,3,8,18,16,64,12,18,11,14,1204.34,1448.68,-244.34000000000015,-13
6784,Northwestern,81,DePaul,79,0,6,6,6,19,50,16,26,9,24,1421.44,1410.84,10.600000000000136,2
6786,Hampton,72,Brown,63,1,2,13,20,18,59,13,17,11,28,1233.71,1195.45,38.25999999999999,9
6788,Milwaukee,63,Texas Tech,80,2,0,5,9,21,55,17,17,0,15,1262.35,1756.84,-494.49,-17
6790,Samford,75,Arkansas,79,0,0,5,9,28,68,29,18,9,10,1252.0,1664.33,-412.3299999999999,-4
6794,East Texas A&M,64,Rice,71,0,4,6,6,18,53,15,16,6,13,1090.49,1220.67,-130.18000000000006,-7
6796,UCF,86,Texas A&M,74,0,3,8,6,27,56,28,23,11,17,1610.01,1624.51,-14.5,12
6798,Xavier,62,Iowa,81,0,1,7,7,17,59,33,21,8,14,1418.8,1616.46,-197.66000000000008,-19
6800,SIU Edwardsville,61,Drake,59,0,3,6,12,28,60,29,12,7,9,1253.21,1416.73,-163.51999999999998,2
6802,High Point,74,UAB,91,0,3,8,11,25,60,23,23,24,31,1484.49,1422.92,61.569999999999936,-17
6808,New Orleans,85,Tulane,63,2,0,3,9,31,48,24,22,0,28,1191.05,1347.61,-156.55999999999995,22
6810,Indiana State,62,Duke,100,0,1,11,10,17,61,30,17,9,15,1236.05,1802.92,-566.8700000000001,-38
6812,Eastern Illinois,53,Kentucky,99,2,4,8,5,12,52,18,12,6,19,1138.31,1630.94,-492.6300000000001,-46
6816,Coastal Carolina,67,Jacksonville State,74,2,0,5,12,29,63,28,20,9,16,1290.79,1364.74,-73.95000000000005,-7
6818,Norfolk State,41,Towson,51,0,2,4,17,31,65,16,18,2,11,1165.69,1355.75,-190.05999999999995,-10
6824,The Citadel,92,West Georgia,100,1,3,4,11,19,70,24,24,19,21,1068.57,1117.36,-48.789999999999964,-8
6826,Stonehill,71,Fairfield,73,1,6,2,5,39,68,23,15,13,11,1104.8,1238.99,-134.19000000000005,-2
6828,Fordham,71,Iona,76,2,3,4,19,29,75,32,18,6,8,1236.68,1354.38,-117.70000000000005,-5
6830,Furman,54,Northern Iowa,70,2,3,4,8,25,56,30,16,2,11,1393.03,1356.14,36.88999999999987,-16
6834,Hofstra,83,Bucknell,77,0,2,9,10,23,57,24,15,4,32,1280.5,1078.13,202.3699999999999,6
6836,Lehigh,72,Rutgers,84,0,1,7,7,19,61,25,20,13,16,1132.58,1394.3,-261.72,-12
6840,Lindenwood,83,Charleston Southern,77,0,3,13,12,30,64,18,13,17,31,1208.69,1124.81,83.88000000000011,6
6848,Central Michigan,82,Coppin State,59,3,7,5,14,31,67,21,17,21,15,1115.34,958.17,157.16999999999996,23
6850,California,96,Kansas State,99,1,5,11,9,17,62,28,20,15,14,1485.28,1406.21,79.06999999999994,-3
6862,Charleston Southern,64,Alabama A&M,68,0,4,6,14,26,55,23,16,8,19,1124.81,1159.36,-34.549999999999955,-4
6868,Purdue,87,Alabama,80,1,0,3,19,33,66,21,15,0,23,1701.37,1641.07,60.299999999999955,7
6870,Alcorn State,64,Howard,72,1,2,9,6,14,58,21,18,11,12,1061.48,1164.9,-103.42000000000007,-8
6880,Le Moyne,80,Massachusetts,94,3,5,10,8,20,61,28,19,18,28,1182.05,1319.07,-137.01999999999998,-14
6884,Monmouth,58,Seton Hall,70,0,6,5,9,27,43,13,19,0,27,1290.31,1467.4,-177.09000000000015,-12
6896,Cornell,97,Lafayette,78,1,2,6,11,33,67,39,24,17,17,1345.62,1057.31,288.30999999999995,19
6898,Pittsburgh,49,West Virginia,71,1,5,4,6,25,53,20,16,9,6,1355.73,1541.0,-185.26999999999998,-22
6900,Central Michigan,64,South Alabama,66,1,7,4,19,25,64,44,15,3,10,1115.34,1408.04,-292.70000000000005,-2
6904,Southern Illinois,81,Nevada,86,1,1,1,10,39,66,17,26,11,29,1293.51,1532.39,-238.8800000000001,-5
6906,Portland State,70,San Francisco,80,0,1,2,15,22,66,27,25,5,13,1341.13,1418.17,-77.03999999999996,-10
6910,Long Beach State,66,Pacific,69,1,3,11,11,24,56,24,25,6,21,1146.92,1339.2,-192.27999999999997,-3
6912,Montana State,68,Stanford,77,2,2,3,6,27,58,23,21,4,13,1303.86,1515.59,-211.73000000000002,-9
6914,Manhattan,79,Utah Tech,75,1,5,6,11,24,54,19,14,10,20,1137.32,1246.11,-108.78999999999996,4
6916,South Dakota State,69,Oregon,83,0,0,6,7,26,59,25,19,6,14,1222.32,1389.56,-167.24,-14
6918,North Texas,64,Oregon State,66,4,2,5,12,24,54,18,26,12,16,1366.58,1332.8,33.77999999999997,-2
6920,Weber State,73,Utah State,83,1,1,4,13,27,57,26,21,14,28,1173.37,1580.6,-407.23,-10
6922,UC San Diego,78,Fresno State,73,0,5,6,12,24,60,37,20,11,13,1394.03,1261.6,132.43000000000006,5
6924,Cal Poly,79,Colorado State,93,0,2,5,9,26,63,36,22,8,18,1200.65,1416.88,-216.23000000000002,-14
6926,Idaho,74,San Diego,78,1,2,7,19,21,59,25,15,15,25,1227.0,1220.63,6.369999999999891,-4
6930,Samford,93,Texas Southern,90,1,1,3,8,32,57,31,16,13,44,1252.0,1131.23,120.76999999999998,3
6932,Dartmouth,75,Bryant,82,0,5,3,9,32,65,34,16,13,16,1254.78,1115.02,139.76,-7
6934,Oakland,45,Houston,78,0,2,3,10,22,51,13,12,2,15,1405.88,1772.45,-366.56999999999994,-33
6938,Eastern Kentucky,62,Vanderbilt,92,0,2,6,10,23,60,33,13,4,19,1137.52,1663.42,-525.9000000000001,-30
6940,Tulsa,88,Oral Roberts,87,0,3,6,12,26,55,23,20,9,36,1498.8,977.9,520.9,1
6942,Minnesota,60,Missouri,83,1,0,3,14,20,54,23,18,2,17,1407.51,1511.6,-104.08999999999992,-23
6944,UTSA,69,Texas State,80,0,5,5,10,23,59,26,18,7,22,1082.68,1254.2,-171.51999999999998,-11
6948,Little Rock,49,Marquette,89,4,1,7,11,20,52,16,18,6,13,1196.72,1388.57,-191.8499999999999,-40
