,team_location,team_score,opponent_team_location,opponent_team_score,team_turnovers,blocks,steals,offensive_rebounds,defensive_rebounds,field_goals_attempted,three_point_field_goals_attempted,fouls,fast_break_points,free_throws_attempted,elo,opponent_elo,elo_delta,score_delta
374,Cornell,86,Harvard,79,0,1,4,8,22,51,24,14,5,26,1345.62,1309.1,36.51999999999998,7
376,Yale,77,Pennsylvania,60,1,4,4,14,28,61,17,19,9,16,1524.75,1249.03,275.72,17
378,Binghamton,63,Maine,79,0,3,5,4,20,44,11,15,0,16,958.72,1096.06,-137.33999999999992,-16
382,Northeastern,78,Drexel,83,1,3,5,9,25,62,23,24,12,18,1168.08,1320.67,-152.59000000000015,-5
384,Chattanooga,64,Samford,75,0,4,1,5,29,48,26,27,2,21,1248.25,1252.0,-3.75,-11
386,Arkansas State,81,Georgia State,82,1,1,5,12,26,57,24,17,5,19,1340.45,1243.87,96.58000000000015,-1
388,Oklahoma,87,Missouri,88,1,1,6,5,24,54,27,24,4,30,1411.1,1511.6,-100.5,-1
390,Florida International,81,New Mexico State,78,0,6,11,8,29,62,24,17,19,28,1203.74,1228.12,-24.37999999999988,3
392,Western Kentucky,58,Sam Houston,73,2,1,3,10,28,51,23,16,3,16,1277.0,1415.44,-138.44000000000005,-15
396,Coppin State,76,Norfolk State,103,0,0,13,12,17,56,21,26,17,38,958.17,1165.69,-207.5200000000001,-27
398,Army,56,Navy,84,1,0,8,8,13,53,34,17,6,12,1129.72,1344.01,-214.28999999999996,-28
400,VMI,58,Western Carolina,88,1,0,4,5,15,53,30,5,4,6,1007.63,1182.65,-175.0200000000001,-30
402,Georgia,67,Texas,87,0,3,7,11,14,51,19,14,7,25,1551.42,1506.73,44.690000000000055,-20
404,Drake,76,Indiana State,62,1,2,11,10,29,62,27,18,15,24,1416.73,1236.05,180.68000000000006,14
406,Illinois State,69,Belmont,80,1,3,9,13,23,58,28,18,5,20,1449.27,1576.64,-127.37000000000012,-11
408,Temple,70,UTSA,64,0,7,10,12,22,54,15,13,19,22,1366.26,1082.68,283.5799999999999,6
410,Northern Kentucky,80,Wright State,88,0,1,5,8,18,58,21,25,8,16,1323.48,1357.04,-33.559999999999945,-8
412,Milwaukee,65,Youngstown State,64,0,4,13,9,23,58,20,17,17,16,1262.35,1205.33,57.01999999999998,1
414,Green Bay,71,Robert Morris,67,2,3,4,7,26,53,20,12,2,13,1278.0,1345.59,-67.58999999999992,4
416,Quinnipiac,64,Marist,71,0,3,5,12,22,62,20,16,2,18,1351.39,1341.33,10.060000000000173,-7
418,Vermont,62,Bryant,52,0,2,3,16,24,52,26,16,0,20,1357.96,1115.02,242.94000000000005,10
422,Texas State,57,James Madison,82,0,1,7,11,17,57,17,12,13,21,1254.2,1332.61,-78.40999999999985,-25
426,South Carolina,69,Texas A&M,92,0,5,6,7,23,61,25,11,0,12,1393.94,1624.51,-230.56999999999994,-23
428,Delaware,51,Liberty,67,1,2,6,1,26,41,16,11,5,13,1181.66,1586.41,-404.75,-16
432,Georgetown,81,Providence,78,4,4,7,9,20,62,25,20,14,11,1395.12,1336.14,58.97999999999979,3
434,Eastern Illinois,68,Morehead State,73,2,0,8,19,11,58,14,22,9,24,1138.31,1240.73,-102.42000000000007,-5
